sample_id	subject_id	clone_id	seq_count	seq_freq
P05_FNA_2_5_Y1	P05	50	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	506	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	509	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	513	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	516	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	519	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	520	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	53	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	533	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	539	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	543	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	550	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	564	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	569	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	571	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	573	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	576	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	583	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	586	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	587	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	592	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	594	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	601	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	607	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	613	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	615	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	617	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	619	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	620	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	622	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	623	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	642	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	644	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	647	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	656	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	657	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	658	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	663	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	666	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	679	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	685	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	69	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	690	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	70	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	702	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	71	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	711	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	76	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	77	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	83	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	85	1	0.00408163265306122
P05_FNA_2_5_Y1	P05	91	1	0.00408163265306122
P05_FNA_2_60_Y1	P05	101	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	105	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	106	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	107	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	108	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	110	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	113	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	115	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	117	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	124	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	125	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	126	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	132	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	134	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	135	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	138	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	140	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	143	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	144	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	145	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	147	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	150	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	156	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	159	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	163	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	166	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	175	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	177	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	18	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	183	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	19	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	191	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	2	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	200	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	201	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	203	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	208	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	209	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	210	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	214	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	217	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	224	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	227	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	228	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	230	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	234	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	241	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	244	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	250	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	252	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	253	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	258	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	263	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	27	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	273	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	28	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	287	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	289	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	298	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	301	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	302	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	304	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	307	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	310	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	328	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	330	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	331	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	333	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	335	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	337	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	339	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	342	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	345	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	349	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	358	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	360	1	0.0021505376344086
